"Regulator_ENSG","Target_ENSG","MI","pvalue","Target_symbol","Regulator_symbol"
"ENSG00000196363","ENSG00000173011",0.458020186193191,0,"TADA2B","WDR5"
"ENSG00000187778","ENSG00000100284",0.647852029956718,0,"TOM1","MCRS1"
"ENSG00000196363","ENSG00000161036",0.569084929704014,0,"LRWD1","WDR5"
"ENSG00000187778","ENSG00000163817",0.329378644675397,0,"SLC6A20","MCRS1"
"ENSG00000187778","ENSG00000100288",0.378535200163328,0,"CHKB","MCRS1"
"ENSG00000147162","ENSG00000237399",0.380784119440863,0,"PITRM1-AS1","OGT"
"ENSG00000196363","ENSG00000233121",0.345777085134745,0,"VN1R20P","WDR5"
"ENSG00000172534","ENSG00000127663",0.46112636578682,0,"KDM4B","HCFC1"
"ENSG00000196363","ENSG00000089280",0.441783027484571,0,"FUS","WDR5"
"ENSG00000187778","ENSG00000124243",0.433601133287817,0,"BCAS4","MCRS1"
"ENSG00000172534","ENSG00000127666",0.470582275294237,0,"TICAM1","HCFC1"
"ENSG00000196363","ENSG00000090263",0.406999474126784,0,"MRPS33","WDR5"
"ENSG00000103510","ENSG00000107872",0.33916314659701,0,"FBXL15","KAT8"
"ENSG00000172534","ENSG00000139625",0.452121594681591,0,"MAP3K12","HCFC1"
"ENSG00000196363","ENSG00000163686",0.362572271795136,0,"ABHD6","WDR5"
"ENSG00000187778","ENSG00000100276",0.395683400702013,0,"RASL10A","MCRS1"
"ENSG00000196363","ENSG00000089289",0.435238113897799,0,"IGBP1","WDR5"
"ENSG00000196363","ENSG00000090273",0.440399796985659,0,"NUDC","WDR5"
"ENSG00000196363","ENSG00000090447",0.446010424446747,0,"TFAP4","WDR5"
"ENSG00000120071","ENSG00000183530",0.595891403342789,0,"PRR14L","KANSL1"
"ENSG00000187778","ENSG00000163795",0.367576110292851,0,"ZNF513","MCRS1"
"ENSG00000196363","ENSG00000149600",0.416568962348512,0,"COMMD7","WDR5"
"ENSG00000196363","ENSG00000163913",0.509541756206038,0,"IFT122","WDR5"
"ENSG00000120071","ENSG00000121297",0.356318067018858,0,"TSHZ3","KANSL1"
"ENSG00000187778","ENSG00000163793",0.383698614335444,0,"DNAJC5G","MCRS1"
"ENSG00000120071","ENSG00000159899",0.414195308054038,0,"NPR2","KANSL1"
"ENSG00000196363","ENSG00000077463",0.438625988838219,0,"SIRT6","WDR5"
"ENSG00000147162","ENSG00000224222",0.381418534981847,0,"LINC02636","OGT"
"ENSG00000196363","ENSG00000100347",0.48885298395787,0,"SAMM50","WDR5"
"ENSG00000196363","ENSG00000100346",0.54773935038459,0,"CACNA1I","WDR5"
"ENSG00000187778","ENSG00000175792",0.452254376242493,0,"RUVBL1","MCRS1"
"ENSG00000196363","ENSG00000163902",0.477915294712114,0,"RPN1","WDR5"
"ENSG00000187778","ENSG00000173137",0.550101024800026,0,"ADCK5","MCRS1"
"ENSG00000120071","ENSG00000182224",0.365351942648271,0,"CYB5D1","KANSL1"
"ENSG00000196363","ENSG00000102977",0.609259867393487,0,"ACD","WDR5"
"ENSG00000196363","ENSG00000114956",0.412568020819593,0,"DGUOK","WDR5"
"ENSG00000187778","ENSG00000187741",0.525096536077042,0,"FANCA","MCRS1"
"ENSG00000120071","ENSG00000158545",0.456020404303612,0,"ZC3H18","KANSL1"
"ENSG00000196363","ENSG00000126934",0.450772952205862,0,"MAP2K2","WDR5"
"ENSG00000187778","ENSG00000161149",0.374184165845489,0,"TUBA3FP","MCRS1"
"ENSG00000196363","ENSG00000148300",0.428277700888446,0,"REXO4","WDR5"
"ENSG00000196363","ENSG00000102984",0.521887841640423,0,"ZNF821","WDR5"
"ENSG00000172534","ENSG00000261546",0.378848720932522,0,"CTD-2555A7.3","HCFC1"
"ENSG00000187778","ENSG00000173113",0.450766838542375,0,"TRMT112","MCRS1"
"ENSG00000187778","ENSG00000174446",0.559390638948758,0,"SNAPC5","MCRS1"
"ENSG00000187778","ENSG00000124155",0.44011102222482,0,"PIGT","MCRS1"
"ENSG00000103510","ENSG00000166169",0.382333637686932,0,"POLL","KAT8"
"ENSG00000196363","ENSG00000091732",0.368458754294239,0,"ZC3HC1","WDR5"
"ENSG00000196363","ENSG00000163956",0.496555476028346,0,"LRPAP1","WDR5"
"ENSG00000103510","ENSG00000010322",0.425304046639232,0,"NISCH","KAT8"
"ENSG00000196363","ENSG00000175931",0.652267233300465,0,"UBE2O","WDR5"
"ENSG00000187778","ENSG00000151778",0.435396584512221,0,"SERP2","MCRS1"
"ENSG00000187778","ENSG00000151779",0.423297662890005,0,"NBAS","MCRS1"
"ENSG00000196363","ENSG00000187902",0.393668439984857,0,"SHISA7","WDR5"
"ENSG00000187778","ENSG00000175756",0.37480049695104,0,"AURKAIP1","MCRS1"
"ENSG00000196363","ENSG00000244187",0.453967648431625,0,"TMEM141","WDR5"
"ENSG00000196363","ENSG00000148337",0.591380017082582,0,"CIZ1","WDR5"
"ENSG00000196363","ENSG00000148335",0.565014191411589,0,"NTMT1","WDR5"
"ENSG00000196363","ENSG00000126903",0.40587409817256,0,"SLC10A3","WDR5"
"ENSG00000196363","ENSG00000148331",0.58271154792428,0,"ASB6","WDR5"
"ENSG00000103510","ENSG00000178188",0.404554017067969,0,"SH2B1","KAT8"
"ENSG00000196363","ENSG00000148339",0.42671757449182,0,"SLC25A25","WDR5"
"ENSG00000120071","ENSG00000267707",0.444056942673266,0,"RP11-95O2.5","KANSL1"
"ENSG00000196363","ENSG00000268149",0.328227008758976,2.74673803208891e-05,"CTD-3193O13.13","WDR5"
"ENSG00000196363","ENSG00000090432",0.421980691387425,0,"MUL1","WDR5"
"ENSG00000196363","ENSG00000148343",0.731347434619641,0,"MIGA2","WDR5"
"ENSG00000196363","ENSG00000065491",0.563862756142207,0,"TBC1D22B","WDR5"
"ENSG00000196363","ENSG00000149679",0.55354150771108,0,"CABLES2","WDR5"
"ENSG00000147162","ENSG00000263826",0.437794068711187,0,"RP11-573D15.9","OGT"
"ENSG00000147162","ENSG00000166685",0.406580486428942,0,"COG1","OGT"
"ENSG00000120071","ENSG00000025800",0.491753837736029,0,"KPNA6","KANSL1"
"ENSG00000103510","ENSG00000131475",0.354377634285328,0,"VPS25","KAT8"
"ENSG00000172534","ENSG00000236528",0.420615528635907,0,"RP1-125I3.2","HCFC1"
"ENSG00000120071","ENSG00000121210",0.367346817689895,0,"TMEM131L","KANSL1"
"ENSG00000196363","ENSG00000004487",0.557832510304535,0,"KDM1A","WDR5"
"ENSG00000187778","ENSG00000239900",0.458657175436977,0,"ADSL","MCRS1"
"ENSG00000103510","ENSG00000132792",0.377504416030338,0,"CTNNBL1","KAT8"
"ENSG00000147162","ENSG00000177302",0.396161796372506,0,"TOP3A","OGT"
"ENSG00000172534","ENSG00000008838",0.487988977824376,0,"MED24","HCFC1"
"ENSG00000120071","ENSG00000204178",0.497283981224941,0,"MACO1","KANSL1"
"ENSG00000103510","ENSG00000168765",0.302993414267234,0.000214353066937623,"GSTM4","KAT8"
